Airport ID_x,departure_iataCode,arrival_iataCode,Name_origin,City_origin,Country_origin,Latitude_origin,Longitude_origin,airline_name,counts,Airport ID_y,Name_dest,City_dest,Country_dest,Latitude_dest,Longitude_dest,Altitude
2749,ADZ,BAQ,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,12.5836,-81.7112,copa airlines colombia,2,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
2895,AUA,BAQ,Queen Beatrix International Airport,Oranjestad,Aruba,12.5014,-70.015198,aruba airlines,2,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
2708,BGA,BAQ,Palonegro Airport,Bucaramanga,Colombia,7.1265,-73.1848,easyfly,4,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
1868,BLB,BAQ,Panama Pacific International Airport,Howard,Panama,8.91479,-79.599602,copa airlines colombia,2,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
2709,BOG,BAQ,El Dorado International Airport,Bogota,Colombia,4.70159,-74.1469,latam airlines,38,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
2709,BOG,BAQ,El Dorado International Airport,Bogota,Colombia,4.70159,-74.1469,sa avianca,100,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
2709,BOG,BAQ,El Dorado International Airport,Bogota,Colombia,4.70159,-74.1469,ultra air,5,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
2709,BOG,BAQ,El Dorado International Airport,Bogota,Colombia,4.70159,-74.1469,viva air colombia,7,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
2715,CLO,BAQ,Alfonso Bonilla Aragon International Airport,Cali,Colombia,3.54322,-76.3816,sa avianca,5,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
2897,CUR,BAQ,Hato International Airport,Willemstad,Netherlands Antilles,12.1889,-68.959801,ez air,2,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
2745,MDE,BAQ,Jose Maria Córdova International Airport,Rio Negro,Colombia,6.164540000000001,-75.4231,latam airlines,14,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
2745,MDE,BAQ,Jose Maria Córdova International Airport,Rio Negro,Colombia,6.164540000000001,-75.4231,sa avianca,10,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
2745,MDE,BAQ,Jose Maria Córdova International Airport,Rio Negro,Colombia,6.164540000000001,-75.4231,ultra air,10,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
2745,MDE,BAQ,Jose Maria Córdova International Airport,Rio Negro,Colombia,6.164540000000001,-75.4231,viva air colombia,8,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
2731,MTR,BAQ,Los Garzones Airport,Monteria,Colombia,8.823739999999999,-75.8258,easyfly,4,2710,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808,98
